the,1818
and,940
to,809
a,690
of,631
it,545
she,541
said,462
you,435
in,431
i,410
alice,386
was,358
that,295
as,274
her,248
with,228
at,227
on,204
all,200
this,181
for,179
had,178
but,175
be,167
not,166
or,155
so,152
very,145
what,137
is,135
they,133
little,128
he,123
its,120
out,118
if,116
one,105
up,103
about,102
down,102
no,100
do,98
his,96
then,94
gutenberg,91
know,88
them,88
project,87
were,87
have,85
like,85
went,83
would,83
herself,83
again,83
when,80
could,78
by,78
there,77
any,76
thought,74
off,73
are,73
how,72
time,71
your,71
see,70
queen,68
me,68
into,67
who,64
did,63
well,63
king,61
an,61
dont,61
now,60
im,59
began,58
way,58
my,58
turtle,57
which,56
mock,56
tm,56
gryphon,55
quite,55
hatter,55
other,54
must,54
work,53
think,53
their,52
some,52
only,52
much,52
just,52
first,51
say,51
from,51
here,51
more,50
go,50
head,49
thing,49
voice,48
never,48
come,47
rabbit,47
such,47
get,46
got,45
looked,45
can,45
oh,45
him,43
after,43
mouse,43
round,41
over,40
two,40
came,40
tone,40
why,40
before,40
will,40
dormouse,39
back,39
great,39
duchess,39
we,39
been,38
right,36
found,35
cat,35
march,35
nothing,34
once,34
last,34
ive,34
without,34
thats,34
ill,33
long,33
works,33
things,33
large,33
tell,32
looking,32
hare,31
put,31
use,31
made,30
white,30
heard,30
door,30
next,30
make,30
look,29
e,29
eyes,29
dear,29
moment,29
day,29
replied,29
should,29
may,28
might,28
three,28
cant,28
away,28
upon,28
going,27
shall,27
caterpillar,27
course,27
seemed,27
poor,27
electronic,27
good,27
than,26
too,26
while,26
same,25
soon,25
yet,25
rather,25
sure,24
wont,24
took,24
theres,24
added,23
felt,23
youre,23
half,23
set,22
getting,22
take,22
under,22
terms,22
please,22
foundation,22
wish,22
jury,22
another,22
anything,22
even,21
however,21
old,21
find,21
till,21
hand,21
words,21
minute,21
ever,21
cried,20
sort,20
end,20
tea,19
curious,19
feet,19
full,19
tried,19
being,19
something,18
table,18
eat,18
enough,18
house,18
wonder,18
soup,18
court,18
agreement,18
side,17
talking,17
sat,17
alices,17
question,17
asked,17
these,17
perhaps,17
let,17
spoke,17
ran,16
people,16
garden,16
high,16
give,16
because,16
indeed,16
turned,16
license,16
both,16
through,16
hastily,16
bit,16
doesnt,16
where,16
used,16
seen,15
called,15
idea,15
am,15
gave,15
states,15
arm,15
saying,15
speak,15
face,15
done,15
mad,15
beginning,15
near,15
cats,15
low,15
air,15
knew,15
hear,15
donations,15
change,15
us,15
itself,14
ought,14
baby,14
copyright,14
saw,14
left,14
many,14
sea,14
remember,14
silence,14
suppose,14
read,14
talk,14
better,14
trying,14
certainly,14
anxiously,14
didnt,14
dodo,13
always,13
whole,13
size,13
yes,13
still,13
cook,13
footman,13
suddenly,13
close,13
beautiful,13
nearly,13
begin,13
really,13
behind,13
theyre,13
dance,13
grow,13
archive,13
life,13
literary,13
bill,13
far,13
room,13
kept,13
keep,13
wouldnt,13
org,13
gone,13
deal,12
majesty,12
help,12
queer,12
everything,12
try,12
copy,12
afraid,12
pigeon,12
finished,12
chapter,12
hands,12
among,12
turning,12
makes,12
small,12
our,12
hardly,12
adventures,12
best,12
game,12
every,12
hold,11
does,11
pig,11
dinah,11
else,11
gloves,11
heads,11
those,11
hurry,11
waited,11
most,11
minutes,11
turn,11
paragraph,11
glad,11
pool,11
party,11
growing,11
tears,11
id,11
whether,11
either,11
mind,11
trademark,11
f,11
hurried,11
though,11
agree,11
word,11
child,11
ask,11
name,11
wasnt,11
thinking,11
book,11
lessons,10
different,10
mine,10
soldiers,10
against,10
united,10
youd,10
few,10
offended,10
opened,10
mouth,10
birds,10
bottle,10
witness,10
own,10
sitting,10
having,10
refund,10
sight,10
access,10
glass,10
remark,10
remarked,10
rest,10
explain,10
fan,10
children,10
creatures,10
foot,10
walked,10
mean,10
repeated,10
yourself,10
box,10
together,9
ebook,9
shook,9
has,9
writing,9
written,9
shouted,9
angrily,9
continued,9
butter,9
hall,9
serpent,9
reason,9
believe,9
place,9
interrupted,9
timidly,9
call,9
leave,9
waiting,9
conversation,9
croquet,9
key,9
couldnt,9
public,9
want,9
join,9
answer,9
rate,9
puzzled,9
knave,9
matter,9
each,9
business,9
least,9
opportunity,9
coming,9
tail,9
dry,8
hard,8
free,8
hearts,8
wood,8
queens,8
pglaf,8
noticed,8
exactly,8
lying,8
changed,8
person,8
learn,8
happen,8
bright,8
tree,8
play,8
slowly,8
asleep,8
domain,8
number,8
notice,8
means,8
kind,8
days,8
feel,8
four,8
ready,8
new,8
nobody,8
forth,8
meaning,8
window,8
http,8
sister,8
followed,8
live,8
associated,8
appeared,8
hadnt,8
five,8
eagerly,8
everybody,8
sit,8
distance,8
havent,8
whiting,8
laws,8
making,8
middle,8
fee,8
watch,8
wonderland,8
gardeners,8
marked,8
almost,8
top,8
seem,8
running,8
moral,8
pepper,8
including,8
itll,8
beg,8
others,8
fact,8
information,8
fish,8
mushroom,8
story,8
sentence,8
nose,8
important,8
ground,8
twinkle,8
wondering,7
except,7
lobsters,7
ebooks,7
repeat,7
golden,7
listen,7
myself,7
open,7
tired,7
shoes,7
frightened,7
lory,7
copies,7
tarts,7
provide,7
youve,7
history,7
nonsense,7
deep,7
subject,7
william,7
evidence,7
song,7
manage,7
understand,7
distributing,7
fancy,7
fall,7
feeling,7
permission,7
surprised,7
larger,7
pocket,7
outside,7
bread,7
